COUNTRY,YEAR,DEBT_TOTAL,DEBT_RATIO,NOMINAL_GDP,NOMINAL_GDP_GROWTH,REAL_GDP,REAL_GDP_GROWTH,POTENTIAL_GDP,POTENTIAL_GDP_GROWTH,GDP_DEFLATOR_PCH,EA_GDP_DEFLATOR_PCH,PRIMARY_BALANCE,STRUCTURAL_PRIMARY_BALANCE,FISCAL_BALANCE,STOCK_FLOW,PRIMARY_EXPENDITURE_SHARE,AGEING_COST,PENSION_REVENUE,PENSION_BALANCE,TAX_AND_PROPERTY_INCOME,IMPLICIT_INTEREST_RATE,INTEREST_RATE_ST,INTEREST_RATE_LT,EXR_EUR,EXR_USD,ESM_REPAYMENT,BOND_REPAYMENT,DEBT_ST_SHARE,DEBT_LT_MATURING_SHARE,DEBT_LT_MATURING_AVG_SHARE,DEBT_DOMESTIC_SHARE,DEBT_EUR_SHARE,FWD_RATE_3M10Y,FWD_RATE_10Y10Y,FWD_INFL_5Y5Y,BUDGET_BALANCE_ELASTICITY
AUT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06136194895766914,0.08178993296874917,0.10387330273436364,0.9985789985612677,0.0,3.118605714285714,4.17273619047619,2.0914,0.571
AUT,2024,394.1,81.7801,481.94,1.841252828718254,410.706737124459,-1.173538613727032,415.5769486172205,0.32934247946285744,3.0505912489225517,2.932331962638357,-3.1508008,-2.4816,-4.6654042,0.13,54.78063,28.0119190101536,2.3978412800809425,,0.0,1.964759,3.939,2.842708333333333,1.0,1.082380469,,,,,,,,,,,
AUT,2025,417.9,84.037,497.2983,3.1867659874673215,409.545559615383,-0.28272667675380836,416.4756399172298,0.2162514795393644,3.4793317974659788,2.4767093808285567,-2.6505004,-1.7004,-4.3825365,1.99,54.6415207,28.340349553971365,2.434195474150691,,0.0,2.1854119,3.081,2.98211,1.0,1.113519535,,27.585858044,,,,,,,,,
AUT,2026,440.1,85.7643,513.1963,3.196873988911686,413.526482777969,0.9720342631292622,418.0997217128064,0.3899584129096745,2.2034166124802024,2.0119566334671157,-2.4347369,-1.8102,-4.230604,0.51,54.5067838,28.541102147538467,2.450150257825296,,0.0088933,2.2053131,,,1.0,1.13468,,33.92139,,,,,,,,,
AUT,2027,,,,,417.9197281406191,1.0623854929767251,420.9896275865444,0.6912001428508674,,,,,,,,28.7705131859857,2.4693114756994725,,0.0209926,,,,,,,25.839980011999998,,,,,,,,,
AUT,2028,,,,,422.2461457704773,1.035226943965295,423.7913105729622,0.6654992909158608,,,,,,,,28.897694077746817,2.475210743566013,,0.019831099999999997,,,,,,,25.89553,,,,,,,,,
AUT,2029,,,,,426.8631339686476,1.0934352496564825,426.8631339686476,0.7248434120870506,,,,,,,,28.983875166993023,2.473198941131995,,0.010757499999999996,,,,,,,27.763313521,,,,,,,,,
AUT,2030,,,,,,,,0.820780769591616,,,,,,,,29.079918304073768,2.4723217988277333,,0.0028188000000000032,,,,,,,23.2640202,,,,,,,,,
AUT,2031,,,,,,,,0.9167181270961815,,,,,,,,29.17485282970339,2.4705764160684605,,-0.0059888000000000025,,,,,,,18.078386650000002,,,,,,,,,
AUT,2032,,,,,,,,1.012655484600747,,,,,,,,29.258446358039652,2.464663036521956,,-0.018963400000000002,,,,,,,17.490531162,,,,,,,,,
